seq1_accession;seq1_variante;seq1_pais;seq1_estado;seq1_tamanho;seq1_spike_tamanho;seq1_data_coleta;seq2_accession;seq2_variante;seq2_pais;seq2_estado;seq2_tamanho;seq2_spike_tamanho;seq2_data_coleta;grupo;completa_total_score;completa_matches;completa_mismatches;completa_gap_openings;completa_gap_extentions;spike_total_score;spike_matches;spike_mismatches;spike_gap_openings;spike_gap_extentions
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL989407.1;B.1.617.2;Bangladesh;;29815;3816;44420;intra-delta;29691;29784;28;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL989392.1;B.1.617.2;Bangladesh;;29808;3816;44420;intra-delta;29688;29778;27;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL351383.1;B.1.617.2;Egypt;;29903;3822;44491;intra-delta;29622;29777;37;4;16;3773;3809;7;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL966486.1;B.1.617.2;Bangladesh;;29818;3816;44392;intra-delta;29709;29790;24;1;3;3796;3811;5;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK104624.1;B.1.617.2;Egypt;;29903;3822;44441;intra-delta;29622;29777;37;4;16;3769;3808;8;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL958479.1;B.1.617.2;Bangladesh;;29814;3816;44387;intra-delta;29602;29761;50;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK189643.1;B.1.617.2;India;;29886;3822;44449;intra-delta;29578;29766;48;4;16;3781;3811;5;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL533312.1;B.1.617.2;USA;ND;29894;3816;44401;intra-delta;29602;29767;47;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK190314.1;B.1.617.2;USA;FL;29820;3816;44417;intra-delta;29578;29743;47;2;9;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL929501.1;B.1.617.2;USA;UT;29809;3816;44517;intra-delta;29664;29769;32;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;MZ996543.1;B.1.617.2;USA;IL;29824;3816;44404;intra-delta;29602;29767;47;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;MZ979005.1;B.1.617.2;USA;FL;29820;3816;44401;intra-delta;29603;29765;46;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK396712.1;B.1.617.2;USA;MD;29834;3816;44461;intra-delta;29602;29767;47;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL532798.1;B.1.617.2;USA;FL;29894;3816;44396;intra-delta;29598;29766;48;2;9;3780;3807;9;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL416456.1;B.1.617.2;USA;FL;29825;3816;44381;intra-delta;29582;29744;46;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL535485.1;B.1.617.2;USA;IN;29872;3816;44416;intra-delta;29527;29743;47;3;33;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;MZ983858.1;B.1.617.2;USA;FL;29817;3816;44376;intra-delta;29586;29745;45;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL776371.1;B.1.617.2;USA;CA;29809;3816;44510;intra-delta;29668;29770;31;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL525066.1;B.1.617.2;USA;FL;29896;3816;44409;intra-delta;29594;29765;49;2;9;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK600503.1;B.1.617.2;USA;FL;29829;3816;44457;intra-delta;29598;29766;48;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;MZ450170.1;B.1.617.2;USA;CA;29821;3816;44352;intra-delta;29608;29767;45;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK040851.1;B.1.617.2;USA;VA;29807;3816;44423;intra-delta;29578;29749;49;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL533077.1;B.1.617.2;USA;FL;29894;3816;44397;intra-delta;29602;29767;47;2;9;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL527012.1;B.1.617.2;USA;IN;29896;3816;44399;intra-delta;29602;29767;47;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PP219952.1;B.1.617.2;USA;;29833;3816;44504;intra-delta;29648;29765;36;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK654484.1;B.1.617.2;USA;;29820;3816;44398;intra-delta;29598;29760;46;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP397223.1;B.1.617.2;USA;;29886;3816;44425;intra-delta;29681;29783;31;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM244655.1;B.1.617.2;USA;;29814;3816;44509;intra-delta;29713;29785;21;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM246163.1;B.1.617.2;USA;;29830;3816;44516;intra-delta;29705;29783;23;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM191603.1;B.1.617.2;USA;;29812;3816;44548;intra-delta;29657;29759;31;1;3;3776;3806;10;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM524823.1;B.1.617.2;USA;;29809;3816;44512;intra-delta;29644;29749;32;1;3;3780;3807;9;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK507690.1;B.1.617.2;USA;;29866;3816;44418;intra-delta;29598;29766;48;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM689003.1;B.1.617.2;USA;;29861;3816;44418;intra-delta;29601;29763;51;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM246247.1;B.1.617.2;USA;;29807;3816;44523;intra-delta;29670;29772;31;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM153932.1;B.1.617.2;USA;;29860;3816;44396;intra-delta;29621;29768;46;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK653873.1;B.1.617.2;USA;;29820;3816;44398;intra-delta;29586;29757;49;2;9;3780;3807;9;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL411226.1;B.1.617.2;USA;;29865;3816;44485;intra-delta;29585;29762;51;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PP142372.1;B.1.617.2;USA;;29839;3816;44422;intra-delta;29569;29749;52;2;9;3776;3806;10;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM244445.1;B.1.617.2;USA;;29814;3816;44503;intra-delta;29653;29770;36;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PP142752.1;B.1.617.2;USA;;29833;3816;44431;intra-delta;29672;29771;30;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM046899.1;B.1.617.2;USA;;29864;3816;44520;intra-delta;29677;29782;32;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK385946.1;B.1.617.2;USA;;29866;3816;44410;intra-delta;29586;29763;51;2;9;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PP143202.1;B.1.617.2;USA;;29839;3816;44449;intra-delta;29577;29751;50;2;9;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM524909.1;B.1.617.2;USA;;29810;3816;44511;intra-delta;29636;29747;34;1;3;3776;3806;10;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM245956.1;B.1.617.2;USA;;29814;3816;44508;intra-delta;29705;29783;23;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM244619.1;B.1.617.2;USA;;29822;3816;44509;intra-delta;29701;29782;24;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PP299883.1;B.1.617.2;USA;;29830;3816;44388;intra-delta;29656;29767;31;2;6;3780;3807;9;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL924833.1;B.1.617.2;USA;;29812;3816;44497;intra-delta;29689;29767;23;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK652202.1;B.1.617.2;USA;;29839;3816;44442;intra-delta;29558;29738;49;3;12;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PP143434.1;B.1.617.2;USA;;29833;3816;44439;intra-delta;29676;29772;29;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PP220871.1;B.1.617.2;USA;;29831;3816;44496;intra-delta;29692;29776;25;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK657000.1;B.1.617.2;USA;;29865;3816;44446;intra-delta;29601;29766;47;2;9;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP397072.1;B.1.617.2;USA;;29811;3816;44432;intra-delta;29665;29758;28;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM244624.1;B.1.617.2;USA;;29833;3816;44509;intra-delta;29716;29788;21;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM246028.1;B.1.617.2;USA;;29814;3816;44509;intra-delta;29682;29775;28;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM244757.1;B.1.617.2;USA;;29837;3816;44509;intra-delta;29705;29783;23;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM246049.1;B.1.617.2;USA;;29835;3816;44508;intra-delta;29701;29782;24;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM244701.1;B.1.617.2;USA;;29814;3816;44509;intra-delta;29713;29785;21;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PP142907.1;B.1.617.2;USA;;29833;3816;44428;intra-delta;29680;29773;28;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK383519.1;B.1.617.2;USA;;29867;3816;44407;intra-delta;29606;29768;46;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP397330.1;B.1.617.2;USA;;29883;3816;44424;intra-delta;29673;29781;33;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL955122.1;B.1.617.2;USA;;29807;3816;44502;intra-delta;29605;29746;44;1;3;3768;3804;12;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM244612.1;B.1.617.2;USA;;29827;3816;44510;intra-delta;29693;29780;26;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM246166.1;B.1.617.2;USA;;29814;3816;44516;intra-delta;29701;29782;24;1;3;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM246034.1;B.1.617.2;USA;;29822;3816;44508;intra-delta;29709;29784;22;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK658366.1;B.1.617.2;USA;;29866;3816;44440;intra-delta;29606;29768;46;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL541835.1;B.1.617.2;USA;;29805;3822;44457;intra-delta;29571;29745;45;3;15;3781;3811;5;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM246133.1;B.1.617.2;USA;;29833;3816;44515;intra-delta;29717;29792;22;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM153467.1;B.1.617.2;USA;;29862;3816;44389;intra-delta;29689;29785;29;1;3;3780;3807;9;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK158384.1;B.1.617.2;USA;;29816;3816;44428;intra-delta;29603;29762;45;2;9;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PP143706.1;B.1.617.2;USA;;29838;3816;44455;intra-delta;29569;29749;52;2;9;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP397426.1;B.1.617.2;USA;;29886;3816;44422;intra-delta;29689;29785;29;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK507706.1;B.1.617.2;USA;;29886;3816;44419;intra-delta;29590;29764;50;2;9;3780;3807;9;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK652281.1;B.1.617.2;USA;;29863;3816;44446;intra-delta;29599;29764;47;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OK386497.1;B.1.617.2;USA;;29867;3816;44411;intra-delta;29602;29767;47;2;9;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM246500.1;B.1.617.2;USA;;29839;3816;44523;intra-delta;29566;29758;56;2;9;3784;3808;8;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP397014.1;B.1.617.2;USA;;29873;3816;44424;intra-delta;29585;29756;43;2;18;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;MZ726510.1;B.1.617.2;USA;;29813;3816;44395;intra-delta;29604;29760;44;2;9;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM054471.1;B.1.617.2;USA;;29885;3816;44419;intra-delta;29689;29785;29;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM244584.1;B.1.617.2;USA;;29814;3816;44509;intra-delta;29701;29782;24;1;3;3792;3810;6;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM244636.1;B.1.617.2;USA;;29814;3816;44510;intra-delta;29709;29784;22;1;3;3788;3809;7;0;0
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PQ577963.1;B.1.1.529;Brazil;;29903;3822;44762;inter-variantes;29482;29742;72;4;16;3729;3798;18;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PQ567389.1;B.1.1.529;Brazil;;29888;3816;44927;inter-variantes;29431;29727;72;6;31;3708;3792;18;2;12
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PQ567392.1;B.1.1.529;Brazil;;29903;3822;44927;inter-variantes;29482;29742;72;4;16;3729;3798;18;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PQ567494.1;B.1.1.529;Brazil;;29870;3807;44927;inter-variantes;29327;29698;83;8;49;3634;3772;29;3;21
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PQ281310.1;B.1.1.529;Brazil;;29894;3822;45108;inter-variantes;29468;29737;68;5;25;3733;3799;17;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PQ281378.1;B.1.1.529;Brazil;;29873;3810;45108;inter-variantes;29356;29706;78;8;46;3655;3778;26;3;18
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;PQ281386.1;B.1.1.529;Brazil;;29867;3804;45108;inter-variantes;29335;29700;78;9;52;3650;3776;22;4;24
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OR725981.1;B.1.1.529;Egypt;;29876;3813;44835;inter-variantes;29344;29703;84;7;43;3707;3791;16;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OR725982.1;B.1.1.529;Egypt;;29876;3813;44849;inter-variantes;29332;29700;87;7;43;3707;3791;16;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OR725983.1;B.1.1.529;Egypt;;29876;3813;44863;inter-variantes;29328;29699;88;7;43;3707;3791;16;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OR717328.1;B.1.1.529;Egypt;;29876;3813;44849;inter-variantes;29360;29707;80;7;43;3707;3791;16;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OQ954650.1;B.1.1.529;Russia;;29882;3813;44599;inter-variantes;29308;29700;84;10;55;3597;3768;30;5;33
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OQ052586.1;B.1.1.529;Nigeria;;29803;3807;44548;inter-variantes;29447;29722;65;6;31;3646;3775;26;3;21
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OQ059020.1;B.1.1.529;Russia;;29822;3822;44806;inter-variantes;29465;29725;72;4;16;3717;3795;21;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OQ059024.1;B.1.1.529;Russia;;29822;3822;44806;inter-variantes;29405;29710;87;4;16;3697;3790;26;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OQ059027.1;B.1.1.529;Russia;;29836;3822;44890;inter-variantes;29453;29722;75;4;16;3701;3791;25;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OQ059028.1;B.1.1.529;Russia;;29822;3822;44890;inter-variantes;29357;29698;99;4;16;3705;3792;24;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP183419.1;B.1.1.529;Egypt;;29876;3813;44698;inter-variantes;29360;29707;80;7;43;3687;3786;21;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP183425.1;B.1.1.529;Egypt;;29876;3813;44740;inter-variantes;29356;29706;81;7;43;3707;3791;16;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP183428.1;B.1.1.529;Egypt;;29870;3807;44742;inter-variantes;29327;29698;83;8;49;3678;3783;18;3;21
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP183433.1;B.1.1.529;Egypt;;29876;3813;44743;inter-variantes;29360;29707;80;7;43;3695;3788;19;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP183435.1;B.1.1.529;Egypt;;29876;3813;44744;inter-variantes;29344;29703;84;7;43;3695;3788;19;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP183436.1;B.1.1.529;Egypt;;29876;3813;44744;inter-variantes;29352;29705;82;7;43;3691;3787;20;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP183440.1;B.1.1.529;Egypt;;29876;3813;44749;inter-variantes;29348;29704;83;7;43;3703;3790;17;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP183447.1;B.1.1.529;Egypt;;29876;3813;44751;inter-variantes;29340;29702;85;7;43;3699;3789;18;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP183454.1;B.1.1.529;Egypt;;29867;3813;44728;inter-variantes;29322;29696;82;8;52;3695;3788;19;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OQ315917.1;B.1.1.529;USA;MT;29860;3807;44124;inter-variantes;29423;29725;74;6;31;3674;3782;19;3;21
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;ON637175.1;B.1.1.529;USA;SC;29814;3822;44576;inter-variantes;29449;29709;69;5;19;3701;3791;25;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;ON384194.1;B.1.1.529;USA;MP;29819;3813;44644;inter-variantes;29106;29642;125;11;64;3553;3757;41;5;33
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM396818.1;B.1.1.529;USA;NJ;29826;3819;44571;inter-variantes;29508;29744;61;5;19;3725;3797;16;2;9
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM332107.1;B.1.1.529;USA;NJ;29815;3822;44559;inter-variantes;29375;29710;75;8;43;3639;3780;27;4;24
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM297839.1;B.1.1.529;USA;TN;29819;3822;44558;inter-variantes;29477;29731;67;5;19;3705;3792;24;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM263440.1;B.1.1.529;USA;TN;29808;3801;44545;inter-variantes;29416;29715;78;5;25;3657;3774;27;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM196622.1;B.1.1.529;USA;NJ;29815;3819;44551;inter-variantes;29444;29722;72;6;22;3677;3785;28;2;9
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM098592.1;B.1.1.529;USA;TX;29817;3813;44549;inter-variantes;29416;29724;63;9;46;3629;3776;22;5;33
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM080504.1;B.1.1.529;USA;MN;29805;3807;44537;inter-variantes;29480;29728;62;6;22;3707;3788;19;2;9
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM080566.1;B.1.1.529;USA;MN;29803;3813;44537;inter-variantes;29362;29703;70;9;52;3625;3775;23;5;33
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM080680.1;B.1.1.529;USA;MN;29804;3807;44538;inter-variantes;29479;29727;62;6;22;3711;3789;18;2;9
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM080705.1;B.1.1.529;USA;MN;29806;3810;44538;inter-variantes;29490;29729;62;5;19;3711;3789;21;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM080710.1;B.1.1.529;USA;MN;29805;3810;44538;inter-variantes;29481;29726;64;5;19;3719;3791;19;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM038373.1;B.1.1.529;USA;MS;29804;3801;44546;inter-variantes;29460;29729;65;6;28;3689;3782;19;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OM038376.1;B.1.1.529;USA;MS;29804;3807;44546;inter-variantes;29381;29713;74;8;43;3642;3774;27;3;21
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OL579980.1;B.1.1.529;USA;FL;29831;3822;44273;inter-variantes;29531;29735;55;3;15;3749;3803;13;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;ON189634.1;B.1.1.529;USA;;29804;3819;44584;inter-variantes;29312;29695;79;10;58;3618;3774;30;4;27
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;ON313199.1;B.1.1.529;USA;;29811;3822;44610;inter-variantes;29350;29706;75;9;52;3655;3784;23;4;24
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;ON071365.1;B.1.1.529;USA;;29808;3822;44589;inter-variantes;29322;29699;79;10;55;3643;3781;26;4;24
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP879969.1;B.1.1.529;USA;;29805;3807;44853;inter-variantes;29331;29696;88;7;40;3674;3782;19;3;21
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP879987.1;B.1.1.529;USA;;29811;3813;44855;inter-variantes;29420;29719;71;6;34;3719;3794;13;2;15
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP419356.1;B.1.1.529;USA;;29805;3822;44781;inter-variantes;29358;29699;85;6;34;3717;3795;21;1;6
OL757809.1;B.1.617.2;Myanmar;;29814;3816;44533;OP419299.1;B.1.1.529;USA;;29811;3813;44760;inter-variantes;29400;29714;76;6;34;3711;3792;15;2;15
